PB_ID,b,h
029190,1629513394,41.75
029190,1629516968,41.5
029190,1629520552,41.5
029190,1629524126,41.25
029190,1629527710,41.25
029190,1629531284,41.25
029190,1629534868,41
029190,1629538441,41
029190,1629542025,40.75
029190,1629545598,40.5
029190,1629549180,40.5
029190,1629552752,40.25
029190,1629556352,40.25
029190,1629559908,40.25
029190,1629563491,40
029190,1629567064,40
029190,1629570647,40
029190,1629574220,39.75
029190,1629577803,39.75
029190,1629581377,39.75
029190,1629584960,39.5
029190,1629588533,39.5
029190,1629592115,39.5
029190,1629595687,39.5
029190,1629599270,39.25
029190,1629602841,39.25
029190,1629606423,39
029190,1629609996,39
029190,1629613578,38.75
029190,1629617151,38.75
029190,1629620734,38.75
029190,1629624306,38.5
029190,1629627887,38.5
029190,1629631458,38.25
029190,1629635039,38.25
029190,1629638610,38
029190,1629642191,38
029190,1629645763,38
029190,1629649345,37.75
029190,1629652917,37.75
029190,1629656498,37.75
029190,1629660069,37.75
029190,1629663650,37.5
029190,1629667222,37.25
029190,1629670803,37.25
029190,1629674373,37.25
029190,1629677954,37
029190,1629681525,37.25
029190,1629685106,37
029190,1629688677,36.75
029190,1629692258,36.75
029190,1629695830,36.75
029190,1629699430,36.75
029190,1629702982,36.5
029190,1629706563,36.5
029190,1629710134,36.25
029190,1629713714,36.25
029190,1629717286,36
029190,1629720867,36
029190,1629724438,36
029190,1629728019,35.75
029190,1629731590,35.75
029190,1629735171,35.75
029190,1629738742,35.5
029190,1629742324,35.5
029190,1629745896,35.5
029190,1629749477,35.25
029190,1629753049,35.25
029190,1629756630,35.25
029190,1629760201,35
029190,1629763783,35
029190,1629767354,35
029190,1629770935,35
029190,1629774506,34.5
029190,1629778088,34.75
029190,1629781659,34.5
029190,1629785239,34.5
029190,1629788810,34.5
029190,1629792389,34.5
029190,1629795959,34.25
029190,1629799538,34.25
029190,1629803109,34.25
029190,1629806689,34.25
029190,1629810259,34
029190,1629813839,34.25
029190,1629817410,34
029190,1629820990,34
029190,1629824560,34
029190,1629828141,33.75
029190,1629831711,34
029190,1629835291,33.75
029190,1629838861,33.75
029190,1629842442,33.75
029190,1629846012,33.5
029190,1629849592,33.5
029190,1629853162,33.5
029190,1629856742,33.5
029190,1629860311,33.5
029190,1629863891,33.5
029190,1629867460,33.5
029190,1629871040,33.5
029190,1629874610,33.25
029190,1629878190,33.5
029190,1629881761,33.25
029190,1629885341,33.25
029190,1629888912,33.25
029190,1629892493,33.25
029190,1629896062,33.25
029190,1629899642,33.25
029190,1629903211,33.25
029190,1629906790,33.25
029190,1629910360,33.25
029190,1629913939,33.25
029190,1629917508,33.25
029190,1629921087,33
029190,1629924656,33.25
029190,1629928234,33.25
029190,1629931803,33.25
029190,1629935382,33.25
029190,1629938951,33.25
029190,1629942530,33.25
029190,1629946099,33.25
029190,1629949678,33.25
029190,1629953247,33.25
029190,1629956827,33.25
029190,1629960397,33.25
029190,1629963976,33.25
029190,1629967546,33.25
029190,1629971126,33.25
029190,1629974698,33.25
029190,1629978275,33.25
029190,1629981845,33.5
029190,1629985424,33.5
029190,1629988994,33.5
029190,1629992574,33.5
029190,1629996144,33.5
029190,1629999723,33.5
029190,1630003293,33.75
029190,1630006872,33.5
029190,1630010443,33.5
029190,1630014023,33.5
029190,1630017593,33.5
029190,1630021173,33.75
029190,1630024744,34
029190,1630028323,33.75
029190,1630031893,34
029190,1630035474,34
029190,1630039044,34
029190,1630042625,34
029190,1630046195,34
029190,1630049775,34
029190,1630053345,34
029190,1630056925,34
029190,1630060495,34
029190,1630064075,34.25
029190,1630067645,34.25
029190,1630071226,34.25
029190,1630074796,34.25
029190,1630078376,34.5
029190,1630081945,34.5
029190,1630085525,34.5
029190,1630089095,34.5
029190,1630092675,34.5
029190,1630096246,34.5
029190,1630099827,34.75
029190,1630103398,34.75
029190,1630106978,34.75
029190,1630110548,34.75
029190,1630114129,34.75
029190,1630117699,34.75
029190,1630121280,34.75
029190,1630124851,34.75
029190,1630128432,34.75
029190,1630132002,35
029190,1630135582,35
029190,1630139152,35
029190,1630142732,35.25
029190,1630146302,35.25
029190,1630149883,35.25
029190,1630153456,35.25
029190,1630157034,35.25
029190,1630160606,35.25
029190,1630164187,35.5
029190,1630167757,35.5
029190,1630171338,35.5
029190,1630174909,35.75
029190,1630178490,35.75
029190,1630182061,35.75
029190,1630185642,35.75
029190,1630189212,36
029190,1630192794,36
029190,1630196364,36
029190,1630199945,35.75
029190,1630203516,36
029190,1630207097,36
